Model,Strategy,Validation folds,ROC-AUC mean,ROC-AUC SD,PR-AUC mean,PR-AUC SD
Logistic Regression,Balanced weighting,50,0.74424201292853465,0.053868633003190579,0.21839736396998596,0.056262749298206426
Random Forest,Balanced weighting,50,0.71918125980817649,0.050581739733637603,0.18763463391016308,0.047158008140682599
Gradient Boosting,Balanced weighting,50,0.70202808786904625,0.043505191469050936,0.19159077245532405,0.050783528512202483
SVM,Balanced weighting,50,0.716370025869284,0.046578295822904271,0.19113629834190857,0.045019147272680825
