Model,Threshold,TP,FP,TN,FN,Accuracy,Precision,Recall,F1-score,False alarm rate,Warning workload,Warning workload percentage,False alarms,Missed hazardous cases,FN:FP cost ratio,Weighted cost,Cost per test record,Scenario
Logistic Regression,0.48999999999999999,32,142,583,19,0.79252577319587625,0.18390804597701149,0.62745098039215685,0.28444444444444444,0.19586206896551725,174,0.22422680412371135,142,19,1,161,0.20747422680412372,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.5,32,134,591,19,0.80283505154639179,0.19277108433734941,0.62745098039215685,0.29493087557603687,0.18482758620689654,166,0.21391752577319587,134,19,1,153,0.19716494845360824,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.51000000000000001,32,127,598,19,0.81185567010309279,0.20125786163522014,0.62745098039215685,0.30476190476190479,0.17517241379310344,159,0.20489690721649484,127,19,1,146,0.18814432989690721,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.52000000000000002,32,120,605,19,0.82087628865979378,0.21052631578947367,0.62745098039215685,0.31527093596059114,0.16551724137931034,152,0.19587628865979381,120,19,1,139,0.17912371134020619,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.53000000000000003,32,115,610,19,0.82731958762886593,0.21768707482993196,0.62745098039215685,0.32323232323232326,0.15862068965517243,147,0.18943298969072164,115,19,1,134,0.17268041237113402,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.54000000000000004,32,107,618,19,0.83762886597938147,0.23021582733812951,0.62745098039215685,0.33684210526315789,0.14758620689655172,139,0.17912371134020619,107,19,1,126,0.16237113402061856,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.55000000000000004,32,102,623,19,0.84407216494845361,0.23880597014925373,0.62745098039215685,0.34594594594594597,0.1406896551724138,134,0.17268041237113402,102,19,1,121,0.15592783505154639,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.56000000000000005,30,100,625,21,0.84407216494845361,0.23076923076923078,0.58823529411764708,0.33149171270718231,0.13793103448275862,130,0.16752577319587628,100,21,1,121,0.15592783505154639,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.56999999999999995,30,96,629,21,0.84922680412371132,0.23809523809523808,0.58823529411764708,0.33898305084745761,0.13241379310344828,126,0.16237113402061856,96,21,1,117,0.15077319587628865,hypothetical; not empirically measured mine-specific costs
Logistic Regression,0.57999999999999996,29,94,631,22,0.85051546391752575,0.23577235772357724,0.56862745098039214,0.33333333333333331,0.1296551724137931,123,0.15850515463917525,94,22,1,116,0.14948453608247422,hypothetical; not empirically measured mine-specific costs
