Model,Strategy,Repeat,Fold,ROC-AUC,PR-AUC,Positive count,Negative count,Validation n
Logistic Regression,Balanced weighting,3,1,0.81262327416173563,0.27536556702106263,24,338,362
Random Forest,Balanced weighting,3,1,0.6804117357001972,0.14227819499754379,24,338,362
Gradient Boosting,Balanced weighting,3,1,0.65372287968441811,0.13656829935674702,24,338,362
SVM,Balanced weighting,3,1,0.74272682445759364,0.16617504569265878,24,338,362
Logistic Regression,Balanced weighting,3,2,0.72053747534516766,0.18065268962545905,24,338,362
Random Forest,Balanced weighting,3,2,0.71486686390532539,0.19535552307312729,24,338,362
Gradient Boosting,Balanced weighting,3,2,0.6704265285996055,0.17355853319238446,24,338,362
SVM,Balanced weighting,3,2,0.70216962524654836,0.24229262854635922,24,338,362
Logistic Regression,Balanced weighting,3,3,0.69243096646942803,0.14845830123630832,24,338,362
Random Forest,Balanced weighting,3,3,0.64349112426035504,0.10322606881394003,24,338,362
Gradient Boosting,Balanced weighting,3,3,0.66820759368836291,0.13264643389096015,24,338,362
SVM,Balanced weighting,3,3,0.68515779092702156,0.19270911770532978,24,338,362
Logistic Regression,Balanced weighting,3,4,0.73707229225623883,0.22318483373739323,23,338,361
Random Forest,Balanced weighting,3,4,0.74826344224337527,0.28061462607459431,23,338,361
Gradient Boosting,Balanced weighting,3,4,0.69796758425520977,0.28444164945516814,23,338,361
SVM,Balanced weighting,3,4,0.71417545665037308,0.1939233054214021,23,338,361
Logistic Regression,Balanced weighting,3,5,0.79228486646884277,0.27968236091155163,24,337,361
Random Forest,Balanced weighting,3,5,0.74901088031651841,0.21728883911268648,24,337,361
Gradient Boosting,Balanced weighting,3,5,0.75123639960435218,0.18613036111999728,24,337,361
SVM,Balanced weighting,3,5,0.74579624134520284,0.21183487614907417,24,337,361
Logistic Regression,Balanced weighting,4,1,0.72497534516765294,0.22927608402955277,24,338,362
Random Forest,Balanced weighting,4,1,0.66518737672583828,0.1950079139919757,24,338,362
Gradient Boosting,Balanced weighting,4,1,0.69230769230769229,0.20076356738460774,24,338,362
