model,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp,warning_workload,false_alarms,missed_hazardous_cases
Logistic Regression,0.5,0.8028350515463918,0.1927710843373494,0.6274509803921569,0.29493087557603687,0.78342123056119,0.21425254046749942,591,134,19,32,166,134,19
Random Forest,0.5,0.9213917525773195,0.3076923076923077,0.1568627450980392,0.2077922077922078,0.7617985125084517,0.2436270283141747,707,18,43,8,26,18,43
Gradient Boosting,0.5,0.9265463917525774,0.2,0.0392156862745098,0.06557377049180328,0.7447599729546992,0.18943650880607785,717,8,49,2,10,8,49
SVM,0.5,0.9342783505154639,0.0,0.0,0.0,0.6960649087221095,0.1702832211088224,725,0,51,0,0,0,51
