model,roc_auc_mean,roc_auc_sd,pr_auc_mean,pr_auc_sd,fold_results
Logistic Regression,0.755714674828979,0.03594703149415021,0.2163565176012078,0.0387372622721722,50
Random Forest,0.7329847232055369,0.03199096013554867,0.19886320702525723,0.03816934469795065,50
Gradient Boosting,0.7616369928812226,0.028714603402368085,0.2166442584705001,0.03937676541658117,50
SVM,0.7101599337191127,0.042438391709522245,0.19467446049818474,0.048595884628313164,50
