Model,Decision cutoff,Target alerts,Common attained alerts,TP,FP,TN,FN,Accuracy,Precision,Recall,F1-score,False alarm rate,Warning workload,Warning workload percentage,False alarms,Missed hazardous cases
Logistic Regression,0.53081375111788842,150,147,32,115,610,19,0.82731958762886593,0.21768707482993196,0.62745098039215685,0.32323232323232326,0.15862068965517243,147,0.18943298969072164,115,19
Random Forest,0.20000000000000001,150,147,28,119,606,23,0.8170103092783505,0.19047619047619047,0.5490196078431373,0.28282828282828282,0.16413793103448276,147,0.18943298969072164,119,23
Gradient Boosting,0.39943876815374418,150,147,26,121,604,25,0.81185567010309279,0.17687074829931973,0.50980392156862742,0.26262626262626265,0.16689655172413792,147,0.18943298969072164,121,25
SVM,0.079772939274566732,150,147,20,127,598,31,0.79639175257731953,0.1360544217687075,0.39215686274509803,0.20202020202020202,0.17517241379310344,147,0.18943298969072164,127,31
