Model,Strategy,Repeat,Fold,ROC-AUC,PR-AUC,Positive count,Negative count,Validation n
Random Forest,RandomOverSampler,2,3,0.73459072978303741,0.21771301855810324,24,338,362
Gradient Boosting,RandomOverSampler,2,3,0.63042406311637078,0.17753345175385102,24,338,362
SVM,RandomOverSampler,2,3,0.74075443786982254,0.29009306911583399,24,338,362
Logistic Regression,RandomOverSampler,2,4,0.61705685618729089,0.11012169377942757,23,338,361
Random Forest,RandomOverSampler,2,4,0.60470800102907118,0.13486648245726235,23,338,361
Gradient Boosting,RandomOverSampler,2,4,0.60271417545665029,0.1517988405684213,23,338,361
SVM,RandomOverSampler,2,4,0.59776177000257258,0.091331614092818605,23,338,361
Logistic Regression,RandomOverSampler,2,5,0.8622650840751731,0.31985502872492033,24,337,361
Random Forest,RandomOverSampler,2,5,0.79902324431256178,0.24324984680129225,24,337,361
Gradient Boosting,RandomOverSampler,2,5,0.78771018793273984,0.25001795533181725,24,337,361
SVM,RandomOverSampler,2,5,0.72428288822947584,0.13785481817717377,24,337,361
Logistic Regression,RandomOverSampler,3,1,0.81188362919132151,0.27638947219255866,24,338,362
Random Forest,RandomOverSampler,3,1,0.69440335305719925,0.15961249104705405,24,338,362
Gradient Boosting,RandomOverSampler,3,1,0.71653106508875741,0.15795431539656191,24,338,362
SVM,RandomOverSampler,3,1,0.72953648915187375,0.18534317904324832,24,338,362
Logistic Regression,RandomOverSampler,3,2,0.72460552268244571,0.18245965027706978,24,338,362
Random Forest,RandomOverSampler,3,2,0.71012080867850091,0.18423871576680328,24,338,362
Gradient Boosting,RandomOverSampler,3,2,0.70019723865877714,0.20637813773916047,24,338,362
SVM,RandomOverSampler,3,2,0.69181459566074932,0.21683113265108406,24,338,362
Logistic Regression,RandomOverSampler,3,3,0.68059664694280086,0.1404900108544824,24,338,362
Random Forest,RandomOverSampler,3,3,0.62900641025641024,0.089344674608915209,24,338,362
Gradient Boosting,RandomOverSampler,3,3,0.64743589743589747,0.10699794022078619,24,338,362
SVM,RandomOverSampler,3,3,0.66173570019723871,0.20909531472246395,24,338,362
Logistic Regression,RandomOverSampler,3,4,0.72330846411113958,0.21368361984793097,23,338,361
Random Forest,RandomOverSampler,3,4,0.7487779778749678,0.28066734879706523,23,338,361
Gradient Boosting,RandomOverSampler,3,4,0.70439927965011584,0.24412731027909956,23,338,361
SVM,RandomOverSampler,3,4,0.71366092101878065,0.18848688558978649,23,338,361
Logistic Regression,RandomOverSampler,3,5,0.78857566765578646,0.27961484016911736,24,337,361
Random Forest,RandomOverSampler,3,5,0.77423343224530172,0.22105045205963172,24,337,361
Gradient Boosting,RandomOverSampler,3,5,0.77250247279920869,0.21759204016980765,24,337,361
SVM,RandomOverSampler,3,5,0.75086547972304651,0.21126980882389268,24,337,361
Logistic Regression,RandomOverSampler,4,1,0.70771696252465477,0.21429589561955692,24,338,362
Random Forest,RandomOverSampler,4,1,0.64133382642998027,0.15139073817390297,24,338,362
Gradient Boosting,RandomOverSampler,4,1,0.65113412228796841,0.21932538377000838,24,338,362
SVM,RandomOverSampler,4,1,0.65113412228796841,0.14436421360776661,24,338,362
Logistic Regression,RandomOverSampler,4,2,0.76799802761341218,0.25829827286295093,24,338,362
Random Forest,RandomOverSampler,4,2,0.74889053254437865,0.17056762550792801,24,338,362
Gradient Boosting,RandomOverSampler,4,2,0.74642504930966469,0.18896539485047276,24,338,362
SVM,RandomOverSampler,4,2,0.7628821499013807,0.1717567769558862,24,338,362
Logistic Regression,RandomOverSampler,4,3,0.645956607495069,0.1613242738582743,24,338,362
Random Forest,RandomOverSampler,4,3,0.70099852071005908,0.18758671628066975,24,338,362
Gradient Boosting,RandomOverSampler,4,3,0.66198224852071008,0.18483710130149697,24,338,362
SVM,RandomOverSampler,4,3,0.63597140039447742,0.15623289427185325,24,338,362
Logistic Regression,RandomOverSampler,4,4,0.80743503987651144,0.18020523676049249,23,338,361
Random Forest,RandomOverSampler,4,4,0.77746333933624912,0.21904646993459093,23,338,361
Gradient Boosting,RandomOverSampler,4,4,0.74710573707229222,0.1873564910552809,23,338,361
SVM,RandomOverSampler,4,4,0.77746333933624912,0.22395996597145296,23,338,361
Logistic Regression,RandomOverSampler,4,5,0.69646389713155288,0.21617103862024029,24,337,361
Random Forest,RandomOverSampler,4,5,0.7247156280909991,0.18040073471527074,24,337,361
