Model,Curve,x,y
Logistic Regression,ROC,0,0
Logistic Regression,ROC,0.0013793103448275861,0
Logistic Regression,ROC,0.0027586206896551722,0
Logistic Regression,ROC,0.0027586206896551722,0.019607843137254902
Logistic Regression,ROC,0.012413793103448275,0.019607843137254902
Logistic Regression,ROC,0.012413793103448275,0.058823529411764705
Logistic Regression,ROC,0.020689655172413793,0.058823529411764705
Logistic Regression,ROC,0.020689655172413793,0.11764705882352941
Logistic Regression,ROC,0.024827586206896551,0.11764705882352941
Logistic Regression,ROC,0.024827586206896551,0.13725490196078433
Logistic Regression,ROC,0.027586206896551724,0.13725490196078433
Logistic Regression,ROC,0.027586206896551724,0.15686274509803921
Logistic Regression,ROC,0.028965517241379312,0.15686274509803921
Logistic Regression,ROC,0.028965517241379312,0.17647058823529413
Logistic Regression,ROC,0.030344827586206897,0.17647058823529413
Logistic Regression,ROC,0.030344827586206897,0.19607843137254902
Logistic Regression,ROC,0.031724137931034485,0.19607843137254902
Logistic Regression,ROC,0.031724137931034485,0.25490196078431371
Logistic Regression,ROC,0.037241379310344824,0.25490196078431371
Logistic Regression,ROC,0.037241379310344824,0.29411764705882354
Logistic Regression,ROC,0.051034482758620693,0.29411764705882354
Logistic Regression,ROC,0.051034482758620693,0.31372549019607843
Logistic Regression,ROC,0.06344827586206897,0.31372549019607843
Logistic Regression,ROC,0.06344827586206897,0.33333333333333331
Logistic Regression,ROC,0.064827586206896548,0.33333333333333331
Logistic Regression,ROC,0.064827586206896548,0.37254901960784315
Logistic Regression,ROC,0.073103448275862071,0.37254901960784315
Logistic Regression,ROC,0.073103448275862071,0.39215686274509803
Logistic Regression,ROC,0.086896551724137933,0.39215686274509803
Logistic Regression,ROC,0.086896551724137933,0.43137254901960786
Logistic Regression,ROC,0.096551724137931033,0.43137254901960786
Logistic Regression,ROC,0.096551724137931033,0.45098039215686275
Logistic Regression,ROC,0.10206896551724139,0.45098039215686275
Logistic Regression,ROC,0.10206896551724139,0.47058823529411764
Logistic Regression,ROC,0.1103448275862069,0.47058823529411764
Logistic Regression,ROC,0.1103448275862069,0.50980392156862742
Logistic Regression,ROC,0.12,0.50980392156862742
Logistic Regression,ROC,0.12,0.52941176470588236
Logistic Regression,ROC,0.12137931034482759,0.52941176470588236
Logistic Regression,ROC,0.12137931034482759,0.5490196078431373
Logistic Regression,ROC,0.12413793103448276,0.5490196078431373
Logistic Regression,ROC,0.12413793103448276,0.56862745098039214
Logistic Regression,ROC,0.13241379310344828,0.56862745098039214
Logistic Regression,ROC,0.13241379310344828,0.58823529411764708
Logistic Regression,ROC,0.13793103448275862,0.58823529411764708
Logistic Regression,ROC,0.13793103448275862,0.62745098039215685
Logistic Regression,ROC,0.20965517241379311,0.62745098039215685
Logistic Regression,ROC,0.20965517241379311,0.6470588235294118
Logistic Regression,ROC,0.28965517241379313,0.6470588235294118
Logistic Regression,ROC,0.28965517241379313,0.66666666666666663
Logistic Regression,ROC,0.29655172413793102,0.66666666666666663
Logistic Regression,ROC,0.29655172413793102,0.68627450980392157
Logistic Regression,ROC,0.30206896551724138,0.68627450980392157
Logistic Regression,ROC,0.30206896551724138,0.70588235294117652
Logistic Regression,ROC,0.35862068965517241,0.70588235294117652
Logistic Regression,ROC,0.35862068965517241,0.72549019607843135
Logistic Regression,ROC,0.40275862068965518,0.72549019607843135
Logistic Regression,ROC,0.40275862068965518,0.74509803921568629
Logistic Regression,ROC,0.42344827586206896,0.74509803921568629
Logistic Regression,ROC,0.42344827586206896,0.76470588235294112
Logistic Regression,ROC,0.43172413793103448,0.76470588235294112
Logistic Regression,ROC,0.43172413793103448,0.78431372549019607
Logistic Regression,ROC,0.46620689655172415,0.78431372549019607
