Model,ROC-AUC,PR-AUC,Brier Score,Decision cutoff,TP,FP,TN,FN,Accuracy,Precision,Recall,F1-score,False alarm rate,Warning workload,Warning workload percentage,False alarms,Missed hazardous cases
Logistic Regression,0.78342123056118995,0.21425254046749942,0.1716877862505807,0.5,32,134,591,19,0.80283505154639179,0.19277108433734941,0.62745098039215685,0.29493087557603687,0.18482758620689654,166,0.21391752577319587,134,19
Random Forest,0.76179851250845165,0.24362702831417471,0.064147938144329897,0.5,8,18,707,43,0.92139175257731953,0.30769230769230771,0.15686274509803921,0.20779220779220781,0.024827586206896551,26,0.033505154639175257,18,43
Gradient Boosting,0.75138607167004734,0.25809209414169937,0.11001749011420484,0.5,21,83,642,30,0.85438144329896903,0.20192307692307693,0.41176470588235292,0.2709677419354839,0.11448275862068966,104,0.13402061855670103,83,30
SVM,0.69606490872210947,0.17028322110882241,0.058711316131681804,0.5,0,0,725,51,0.93427835051546393,0,0,0,0,0,0,0,51
