Case ID,Source package member,Bytes,SHA256
S1-20,Final_Coder_Source_Package/S1-20/S1-20_Buffalo_Creek_US_Senate_Hearing_Part2.pdf,476197351,1755f72932d74f166b78b47d32ed67d1cd3de6ef3e527dc4df7b2156536a58ec
S1-20,Final_Coder_Source_Package/S1-20/S1-20_Buffalo_Creek_US_Senate_Hearing_Part2.zip,476292380,12d0df30ae29ec4ce454fb27467349be45e22cb5cb64b56cd423f1933f4e550c
S1-21,Final_Coder_Source_Package/S1-21/S1-21_Songzao_NMSA_Official_Case.html,30804,a8a92a44d047009155e6854c49af47f8c3b668bb9c2b7b304e653666c3e93a4a
S1-22,Final_Coder_Source_Package/S1-22/S1-22_FMSHRC_Official_Report_Identity_Verification.pdf,4487389,fc76ca42cacd35e6e64a8d66aa1f1a752285f91a96c45382a5a34bcbad3fb3e3
S1-22,Final_Coder_Source_Package/S1-22/S1-22_GovInfo_1988_Final_Rule_Wilberg_Corroboration.pdf,30854326,c60ae39ac5eeda69d6bc8cf69d773502a8669e0a3abd3de42fb5701af26617c4
S1-22,Final_Coder_Source_Package/S1-22/S1-22_MSHA_2014_Risk_Readiness_Report_SECONDARY.pdf,8243035,73501e5cbdf19546a5e139d8f53fea8362207c23ef38ee23bd572b9e72c70301
S1-22,Final_Coder_Source_Package/S1-22/S1-22_NIOSH_Docket_Report_Inventory.pdf,1432051,c168e4dc33b3888927654954cbe2bce8c81e97bc174b881dbcbb1aa229e7aef3
S1-22,Final_Coder_Source_Package/S1-22/S1-22_Wilberg_MSHA_1987_Investigation_Report.pdf,10266131,84b36daa9730056ec17f41de41d30b741ca7f1166e5733a9137b62362f963341
S1-23,Final_Coder_Source_Package/S1-23/S1-23_Pingdingshan_Official_Investigation_Report.pdf,1557165,5d2ebfd9d3658561bb08993f7054c655d956472343fec04a65beba28abf1da40
S1-24,Final_Coder_Source_Package/S1-24/S1-24_Shuangyang_Heilongjiang_Official_Index.html,23042,14b77d0185e2f19864ac72e7f3ba9574682632c0dfdbaaca72bfb154cf5e5e6b
S1-24,Final_Coder_Source_Package/S1-24/S1-24_Shuangyang_NMSA_Official_Case.html,34026,589f4f1173967c0cd47e9dbbbce59837dde2956fa1309c23a35145099e15759d
S1-25,Final_Coder_Source_Package/S1-25/S1-25_Southmountain_MSHA_Federal_Register_Technical_Record.pdf,228314,5aa93c95d84d0799b180d631386585bb387f1b3ce68790e7410aa79538a05a53
S1-25,Final_Coder_Source_Package/S1-25/S1-25_Southmountain_MSHA_Historical_Fact_Sheet.html,36824,f3aee6b34267f9904761a89b73794b8b92f1e1197c0da0aaf2d6e2de88a05b29
S1-25,Final_Coder_Source_Package/S1-25/S1-25_Southmountain_USBM_NIOSH_Case_Summary.pdf,3445998,3f6ad3a2cd3b8919571c37e274e3a561229ef5a3aaf3b32f35ad0e2284f9f4ec
S1-26,Final_Coder_Source_Package/S1-26/S1-26_Buchanan_MSHA_Final_Report.html,107119,79691018c2e1807bf7a9dfeda353872f540f361c11d2e1e3c66e6cf4eec2e728
S1-26,Final_Coder_Source_Package/S1-26/S1-26_Buchanan_Virginia_Energy_Fatality_Report.pdf,1996960,12fce76e6e483b6cc7da0baed4b633328fa276394b1b83c874f7e92ae5886a22
S1-27,Final_Coder_Source_Package/S1-27/S1-27_No4_Mine_MSHA_Final_Report.html,114349,1c0cf74b0964613e1197b36a4421fbc302315d744b21fcd1c931df017e6cf1e1
S1-28,Final_Coder_Source_Package/S1-28/S1-28_Wyco_MSHA_Final_Report.html,120004,24e4d500501ce36f782bcfd9e50ac17ec54ab7b18ac0fa086e64463cb3a3ad33
S1-29,Final_Coder_Source_Package/S1-29/S1-29_Affinity_MSHA_Final_Report.html,121468,e316cb2456768a49b2e20e81ddded601112f089a8247dc9632c40eb17c0b844b
S1-30,Final_Coder_Source_Package/S1-30/S1-30_Kunyuan_NMSA_Final_Investigation_Report.pdf,1147359,4ffdb33fdc6d706ba5102d0eeddd152a3c4269488cdfecb7f1bd20d49e3c19da
S1-31,Final_Coder_Source_Package/S1-31/S1-31_Grundy_US_Bureau_of_Mines_NIOSH_Report.pdf,3445998,3f6ad3a2cd3b8919571c37e274e3a561229ef5a3aaf3b32f35ad0e2284f9f4ec
S1-32,Final_Coder_Source_Package/S1-32/S1-32_RFH_US_Bureau_of_Mines_NIOSH_Report.pdf,3445998,3f6ad3a2cd3b8919571c37e274e3a561229ef5a3aaf3b32f35ad0e2284f9f4ec
