Model,Strategy,Validation folds,ROC-AUC mean,ROC-AUC SD,PR-AUC mean,PR-AUC SD
Logistic Regression,Balanced weighting,50,0.74424201292853465,0.053868633003190579,0.21839736396998596,0.056262749298206426
Random Forest,Balanced weighting,50,0.71918125980817649,0.050581739733637603,0.18763463391016308,0.047158008140682599
Gradient Boosting,Balanced weighting,50,0.70202808786904625,0.043505191469050936,0.19159077245532405,0.050783528512202483
SVM,Balanced weighting,50,0.716370025869284,0.046578295822904271,0.19113629834190857,0.045019147272680825
Logistic Regression,RandomOverSampler,50,0.74116787055789957,0.056212822262233376,0.21823967128107286,0.057126281194708542
Random Forest,RandomOverSampler,50,0.71780820846556148,0.050451507728894215,0.18090842130766208,0.046441976363889532
Gradient Boosting,RandomOverSampler,50,0.70583662615780052,0.049881938100172565,0.19490432215170972,0.04957221780576692
SVM,RandomOverSampler,50,0.70523205108483822,0.044846574751093153,0.18526753734954027,0.045807236785316251
