Resample,Model,ROC-AUC,PR-AUC,Recall,Precision,Brier Score,Positive count,Negative count,Precision zero division applied,Undefined metric reason
5,Gradient Boosting,0.70880324543610551,0.22862567284236482,0.43137254901960786,0.22222222222222221,0.10747753488703596,51,725,False,none
5,SVM,0.69025016903313041,0.29838740295045835,0,0,0.056990253801197849,51,725,True,No positive predictions; precision defined as zero
6,Logistic Regression,0.77557809330628791,0.22101005880139354,0.66666666666666663,0.20118343195266272,0.17419398161341654,51,725,False,none
6,Random Forest,0.7383637592968223,0.1855161099071127,0.058823529411764705,0.1111111111111111,0.068265850515463911,51,725,False,none
6,Gradient Boosting,0.75264367816091948,0.26399732005746107,0.49019607843137253,0.20661157024793389,0.11621777809359025,51,725,False,none
6,SVM,0.6773225152129817,0.18475074852132872,0,0,0.058578861408620453,51,725,True,No positive predictions; precision defined as zero
7,Logistic Regression,0.76951994590939821,0.20622909148079921,0.60784313725490191,0.20000000000000001,0.17558707783649499,51,725,False,none
7,Random Forest,0.78171737660581475,0.20741796744824359,0.098039215686274508,0.20833333333333334,0.063465463917525791,51,725,False,none
7,Gradient Boosting,0.7199459093982421,0.28489615406987867,0.35294117647058826,0.17475728155339806,0.11118527258569846,51,725,False,none
7,SVM,0.64870858688302913,0.15663047218948933,0,0,0.059441302353622341,51,725,True,No positive predictions; precision defined as zero
8,Logistic Regression,0.77465855307640297,0.19492838245649821,0.62745098039215685,0.20000000000000001,0.17232024134138491,51,725,False,none
8,Random Forest,0.79751183231913458,0.21783626439969395,0.098039215686274508,0.18518518518518517,0.066900386597938136,51,725,False,none
8,Gradient Boosting,0.75391480730223126,0.25742093247080883,0.45098039215686275,0.2072072072072072,0.11170605148251217,51,725,False,none
8,SVM,0.70401622718052748,0.1755436835600255,0,0,0.058652398686881414,51,725,True,No positive predictions; precision defined as zero
9,Logistic Regression,0.74945233265720079,0.19150373696026615,0.60784313725490191,0.18023255813953487,0.17612371729890067,51,725,False,none
9,Random Forest,0.6731710615280595,0.26148951112634983,0.19607843137254902,0.43478260869565216,0.066224999999999992,51,725,False,none
9,Gradient Boosting,0.70726166328600404,0.22091943054476776,0.35294117647058826,0.19354838709677419,0.1103609218073893,51,725,False,none
9,SVM,0.6457065584854631,0.16510420334869047,0,0,0.059119970162492361,51,725,True,No positive predictions; precision defined as zero
10,Logistic Regression,0.78536849222447602,0.25748059715997601,0.62745098039215685,0.19047619047619047,0.17201121504408234,51,725,False,none
10,Random Forest,0.80170385395537536,0.28387096451093158,0.13725490196078433,0.31818181818181818,0.061238144329896903,51,725,False,none
10,Gradient Boosting,0.76692359702501689,0.30107001908669301,0.49019607843137253,0.22522522522522523,0.11080951297579301,51,725,False,none
10,SVM,0.72503042596348888,0.21690713563755212,0,0,0.058753837085471557,51,725,True,No positive predictions; precision defined as zero
11,Logistic Regression,0.77684922244759957,0.20646440081943973,0.62745098039215685,0.17297297297297298,0.18023337804943265,51,725,False,none
11,Random Forest,0.78814063556457059,0.20544725386275703,0.11764705882352941,0.20000000000000001,0.068755541237113402,51,725,False,none
11,Gradient Boosting,0.7503448275862068,0.20561273659462909,0.41176470588235292,0.19266055045871561,0.11779293955862612,51,725,False,none
11,SVM,0.68622041920216359,0.15471867653590432,0,0,0.060005100945378365,51,725,True,No positive predictions; precision defined as zero
12,Logistic Regression,0.7728465179175118,0.22995580914838554,0.60784313725490191,0.18128654970760233,0.17043689937134412,51,725,False,none
12,Random Forest,0.70969574036511152,0.22440929193414957,0.17647058823529413,0.29999999999999999,0.067469845360824746,51,725,False,none
12,Gradient Boosting,0.72202839756592296,0.2619945109343525,0.41176470588235292,0.23595505617977527,0.10803415342175918,51,725,False,none
12,SVM,0.67367139959432043,0.17077746634960811,0,0,0.058867751938945341,51,725,True,No positive predictions; precision defined as zero
13,Logistic Regression,0.8088167680865449,0.2976924429571659,0.68627450980392157,0.2046783625730994,0.17090361023242673,51,725,False,none
13,Random Forest,0.80101419878296143,0.37328394732386816,0.33333333333333331,0.56666666666666665,0.056913273195876295,51,725,False,none
13,Gradient Boosting,0.80150101419878295,0.31134201035998049,0.47058823529411764,0.22429906542056074,0.10510836657908378,51,725,False,none
13,SVM,0.73933739012846522,0.22510698931960729,0,0,0.05752967503712407,51,725,True,No positive predictions; precision defined as zero
14,Logistic Regression,0.80073022312373232,0.22942440719416776,0.62745098039215685,0.20915032679738563,0.16653885033911028,51,725,False,none
14,Random Forest,0.78951994590939834,0.17836056389635688,0.098039215686274508,0.20000000000000001,0.06775128865979381,51,725,False,none
