Model,Strategy,Validation folds,ROC-AUC mean,ROC-AUC SD,PR-AUC mean,PR-AUC SD
Logistic Regression,RandomOverSampler,50,0.74116787055789957,0.056212822262233376,0.21823967128107286,0.057126281194708542
Random Forest,RandomOverSampler,50,0.71780820846556148,0.050451507728894215,0.18090842130766208,0.046441976363889532
Gradient Boosting,RandomOverSampler,50,0.70583662615780052,0.049881938100172565,0.19490432215170972,0.04957221780576692
SVM,RandomOverSampler,50,0.70523205108483822,0.044846574751093153,0.18526753734954027,0.045807236785316251
