Rule,Agreement with proba rule,Difference samples vs proba,TP,FP,TN,FN,Accuracy,Precision,Recall,F1-score,False alarm rate,Warning workload,Warning workload percentage,False alarms,Missed hazardous cases
predict_proba >= 0.5,1,0,0,0,725,51,0.93427835051546393,0,0,0,0,0,0,0,51
decision_function > 0,0.83118556701030932,131,19,112,613,32,0.81443298969072164,0.14503816793893129,0.37254901960784315,0.2087912087912088,0.15448275862068966,131,0.16881443298969073,112,32
predict,0.83118556701030932,131,19,112,613,32,0.81443298969072164,0.14503816793893129,0.37254901960784315,0.2087912087912088,0.15448275862068966,131,0.16881443298969073,112,32
