model,threshold,accuracy,precision,recall,f1,tn,fp,fn,tp,warning_workload,false_alarms,missed_hazardous_cases
Logistic Regression,0.1,0.07087628865979381,0.06606217616580311,1.0,0.12393681652490887,4,721,0,51,772,721,0
Logistic Regression,0.2,0.23711340206185566,0.07931570762052877,1.0,0.14697406340057637,133,592,0,51,643,592,0
Logistic Regression,0.3,0.4845360824742268,0.10250569476082004,0.8823529411764706,0.1836734693877551,331,394,6,45,439,394,6
Logistic Regression,0.4,0.6971649484536082,0.1377952755905512,0.6862745098039216,0.22950819672131148,506,219,16,35,254,219,16
Logistic Regression,0.5,0.8028350515463918,0.1927710843373494,0.6274509803921569,0.29493087557603687,591,134,19,32,166,134,19
Logistic Regression,0.6,0.8569587628865979,0.23684210526315788,0.5294117647058824,0.32727272727272727,638,87,24,27,114,87,24
Logistic Regression,0.7,0.884020618556701,0.25316455696202533,0.39215686274509803,0.3076923076923077,666,59,31,20,79,59,31
